%Building,Room,CAPACITY = #seats/2
AmosEaton,214,81
AmosEaton,215,25
AmosEaton,216,20
Carnegie,101,19
Carnegie,102,10
Carnegie,106,20
Carnegie,112,22
Carnegie,113,25
Carnegie,201,30
Carnegie,205,13
Carnegie,206,17
Carnegie,208,18
Carnegie,210,17
Darrin,232,17
Darrin,235,16
Darrin,236,16
Darrin,239,17
Darrin,240,5
Darrin,308,254
Darrin,318,117
Darrin,324,85
Darrin,330,76
Darrin,337,58
Greene,120,36
Jonsson,3207,15
Jonsson,3210,25
Jonsson,4309,17
Jonsson,5119,25
Jonsson,5312,14
J-Rowland,1W01,10
J-Rowland,2C06,24
J-Rowland,2c13,15
J-Rowland,2C14,24
J-Rowland,2C22,24
J-Rowland,2c25,15
J-Rowland,2C30,24
Lally,2,15
Lally,102,30
Lally,104,25
Low,3039,21
Low,3045,21
Low,3051,35
Low,3112,15
Low,3116,15
Low,3130,15
Low,4034,16
Low,4040,16
Low,4050,57
MRC,136,14
Nason,130,15
Pittsburgh,4114,28
Pittsburgh,4206,26
Pittsburgh,5114,18
Pittsburgh,5216,27
Ricketts,203,89
Ricketts,208,12
Ricketts,211,37
Ricketts,212,22
Sage,2112,15
Sage,2701,15
Sage,2704,16
Sage,2707,21
Sage,2715,17
Sage,3101,28
Sage,3303,160
Sage,3510,90
Sage,3704,20
Sage,3705,15
Sage,3713,20
Sage,4101,40
Sage,4112,18
Sage,4203,15
Sage,4510,15
Sage,5101,35
Sage,5510,37
Troy,2012,35
Troy,2015,15
Troy,2018,34
Voorhees,North,12
Voorhees,South,15
Walker,5113,32
Walker,6113,32
West,Auditorium,250
